Titel,Datum,Fehlercode,Fehlertext
CIRCULAR REPUBLIC Festival 2025,2025-05-22T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""30c1587c-2c83-417e-b697-b47dc326a9f4""}"
PhD Breakfast (May 2025),2025-05-22T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""eaecabc2-415e-4e80-b39f-ae1fbe8da957""}"
Startup Lunch,2025-05-28T11:30,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""dbe6e48a-4c8e-47f5-9c52-8dcd49e685dd""}"
HOPSathon,2025-06-02T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""d8553251-7228-42ff-97ac-f2b16ec501fa""}"
Open House Day - TUM Venture Lab FAB,2025-06-25T15:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""c0e624aa-b1a1-4784-a9df-16c7399fdf68""}"
TUM Entrepreneurship Day 2025,2025-06-26T09:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""547e5e92-5b56-4001-ad89-88dd7b700e74""}"
Sustainable Maritime Innovation,2025-07-18T13:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""be59de6b-f9eb-49e0-8b74-f35ecdd8212e""}"
IAA Special: Venture Client Roundtable meets VCs @TUM Venture Labs,2025-09-10T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""dc1a7c77-d60a-495c-9987-d17fdd701744""}"
Ultimate European Startup Party @IAA,2025-09-10T18:30,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""96cd0a4c-848b-4050-a409-95004371a9a4""}"
Public VIewing Autonomous Racing,2025-11-01T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""522a1435-3c37-4c2a-b173-eee93016758d""}"
SDV Community,2025-11-13T09:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""f947a23d-8e7f-4b66-95fa-6b954b0e4d10""}"
YEAR's END CELEBRATION,2025-12-11T17:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""d931790d-40a3-4668-9eac-597f14f73675""}"
